; Number of ROIs: 3
; File Dimension: 3340 x 1683
;
; ROI name: All_water
; ROI rgb value: {255, 0, 0}
; ROI npts: 18613
;
; ROI name: All_veg
; ROI rgb value: {0, 128, 0}
; ROI npts: 2220
;
; ROI name: Urban
; ROI rgb value: {0, 0, 255}
; ROI npts: 10089
;
; File X, File Y, Lat, Lon, B1, B2, B3, B4, B5, B6, B7
;
  663,   920,  22.60520581,  113.94635306,  0.033350,  0.051200,  0.034350,  0.026050,   0.008450,  -0.137417,   0.510145
  662,   920,  22.60520581,  113.94608356,  0.034200,  0.049100,  0.029050,  0.027950,   0.006950,  -0.019298,   0.601719
  662,   921,  22.60493631,  113.94608356,  0.035200,  0.048600,  0.030950,  0.027950,   0.012000,  -0.050934,   0.399249
  665,   921,  22.60493631,  113.94689205,  0.034900,  0.046950,  0.032500,  0.029750,   0.006950,  -0.044177,   0.621253
  664,   921,  22.60493631,  113.94662255,  0.036150,  0.046950,  0.029050,  0.027950,   0.008450,  -0.019298,   0.535714
  663,   921,  22.60493631,  113.94635306,  0.036150,  0.049100,  0.030950,  0.027950,   0.008450,  -0.050934,   0.535714
  662,   922,  22.60466682,  113.94608356,  0.038300,  0.044850,  0.034000,  0.033800,   0.008200,  -0.002950,   0.609524
  666,   922,  22.60466682,  113.94716154,  0.037550,  0.046950,  0.035850,  0.029750,   0.009500,  -0.092988,   0.515924
  665,   922,  22.60466682,  113.94689205,  0.038300,  0.046950,  0.032500,  0.029750,   0.008200,  -0.044177,   0.567852
  664,   922,  22.60466682,  113.94662255,  0.036150,  0.046950,  0.032500,  0.027950,   0.006950,  -0.075269,   0.601719
  663,   922,  22.60466682,  113.94635306,  0.038750,  0.049100,  0.032500,  0.027950,   0.004200,  -0.075269,   0.738725
  663,   923,  22.60439733,  113.94635306,  0.036750,  0.046950,  0.029450,  0.027950,   0.005700,  -0.026132,   0.661218
  664,   923,  22.60439733,  113.94662255,  0.034700,  0.048600,  0.032500,  0.027950,   0.006950,  -0.075269,   0.601719
  665,   923,  22.60439733,  113.94689205,  0.038500,  0.050300,  0.032100,  0.031950,   0.012250,  -0.002342,   0.445701
  666,   923,  22.60439733,  113.94716154,  0.039250,  0.048600,  0.035850,  0.031600,   0.010750,  -0.063010,   0.492326
  667,   923,  22.60439733,  113.94743103,  0.038300,  0.048600,  0.033950,  0.031600,   0.012000,  -0.035850,   0.449541
  662,   923,  22.60439733,  113.94608356,  0.035750,  0.048600,  0.034000,  0.033800,   0.011000,  -0.002950,   0.508929
  667,   924,  22.60412783,  113.94743103,  0.037550,  0.048600,  0.034350,  0.029750,   0.008450,  -0.071763,   0.557592
  662,   924,  22.60412783,  113.94608356,  0.038500,  0.046500,  0.034350,  0.027950,   0.008200,  -0.102729,   0.546335
  663,   924,  22.60412783,  113.94635306,  0.038750,  0.045250,  0.032800,  0.027950,   0.009700,  -0.079835,   0.484728
  664,   924,  22.60412783,  113.94662255,  0.036750,  0.046950,  0.034000,  0.027950,   0.008200,  -0.097659,   0.546335
  665,   924,  22.60412783,  113.94689205,  0.038300,  0.048600,  0.034000,  0.029750,   0.011000,  -0.066667,   0.460123
  666,   924,  22.60412783,  113.94716154,  0.040050,  0.048600,  0.034000,  0.029750,   0.012000,  -0.066667,   0.425150
  668,   924,  22.60412783,  113.94770053,  0.036750,  0.050700,  0.032450,  0.029750,   0.012550,  -0.043408,   0.406619
