index,year,investment,population,private_wage,agr_output,indust_output,agr_pop,avg_wage
0,1987,251.01,5832.15,4.12,348.61,878.29,4522.24,1743
1,1988,353.59,5928.31,7.93,473.78,1318.9,4561.77,2250
2,1989,347.34,6024.98,13.27,548.6,1647.24,4602.23,2678
3,1990,381.47,6246.32,18.27,600.71,1902.25,4769.01,2929
4,1991,478.2,6348.95,28.23,654.82,2524.12,4808.03,3358
5,1992,921.75,6463.17,40.28,737.11,3479.39,4822.37,4027
6,1993,1629.87,6581.6,70.63,899.03,5237.37,4773.51,5327
7,1994,2141.15,6691.46,103.9,1151.38,7273.95,4726.74,7117
8,1995,2327.22,6788.74,150.96,1445.48,9720.54,4753.37,8250
9,1996,2327.64,6896.77,158.93,1577.89,10530.93,4788.97,9127
10,1997,2298.14,7013.73,198.04,1656.46,12372.69,4840.23,9698
11,1998,2668.13,7115.65,263.98,1705.44,13799.16,4896.58,10233
12,1999,3027.56,7298.88,301.44,1745.02,15303.33,5022.46,11309
13,2000,3233.7,7498.54,341.98,1701.18,16904.47,5160.25,13823
14,2001,3536.41,7565.33,399.59,1722.35,18909.91,5174.02,15682
15,2002,3970.69,7649.29,488.43,1781.06,21788.71,4881.98,17814
16,2003,5030.57,7723.42,591.05,1908.66,27375.56,4003.07,19986
17,2004,6025.53,7804.75,743.94,2154.79,34443.48,3973.52,22116
18,2005,7164.11,7899.64,938.04,2447.57,41661.74,3792.32,23959
19,2006,8132.37,8048.71,1152.84,2536.27,51131.94,3880.37,26186
20,2007,9596.95,8156.05,1407.06,2810.45,62759.92,3894.02,29443
21,2008,11165.06,8267.09,1663.02,3276.02,74414.31,3950.53,33110
22,2009,13353.15,8365.98,1895.66,3301.86,75886.62,3990.01,36355
23,2010,16113.19,8521.55,2324.64,3697.18,93462.97,4054.37,40358
24,2011,16843.83,8637.19,3059.08,4301.86,103493.35,4111.72,45152
25,2012,19307.53,8635.89,3723.02,4550.29,105049.54,4090.05,50577
26,2013,22828.65,8759.46,7581.85,4802.01,119139.72,4031.97,53611
27,2014,25928.09,8886.88,8582.47,5053.72,130081.02,4032.42,59827
28,2015,30031.2,9008.38,9449.28,5303.63,135308.14,3394.65,66296
29,2016,33008.86,9164.9,10310.8,5817.55,144926.09,3387.69,72848
30,2017,74425.87,9344.23,11519.25,5969.87,150143.43,3384.83,79183
31,2018,81235.60,9503.54,13313.60,6318.12,156749.74,3317.17,88636
32,2019,82493.62,9612.06,15156.46,7175.89,162706.23,3255.23,98889
33,2020,91528.70,9715.96,15872.58,7901.92,168726.36,3109.43,108045
34,2021,98341.84,9762.14,17850.02,8305.84,181887.02,3066.55,118133
35,2022,101957.07,9741.36,18672.70,8892.29,190799.48,3041.77,124916
36,2023,97387.35,9779.07,19495.38,9202.09,199957.86,2976.02,131418
